author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/319524074/,Москва,rent_long,flat,290300.0,,monolithBrick,60.1,28,"Багратионовская, Парк Победы, Филёвский парк",2025-07-08,4830.282861896839,"['Багратионовская', 'Парк Победы', 'Филёвский парк']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/313850443/,Москва,rent_long,flat,200600.0,2005.0,panel,53.3,22,"Поклонная, Ломоносовский проспект, Киевская",2025-02-18,3763.6022514071296,"['Поклонная', 'Ломоносовский проспект', 'Киевская']",2,2025-02,2025,1
realtor_based,https://www.cian.ru/rent/flat/317523322/,Москва,rent_long,flat,84300.0,1960.0,panel,25.0,5,"Ломоносовский проспект, Минская, Минская",2025-05-14,3372.0,"['Ломоносовский проспект', 'Минская', 'Минская']",5,2025-05,2025,2
realtor_based,https://www.cian.ru/rent/flat/316058969/,Москва,rent_long,flat,79800.0,2024.0,panel,18.0,24,"Бульвар Генерала Карбышева, Серебряный Бор, Щукинская",2025-04-09,4433.333333333333,"['Бульвар Генерала Карбышева', 'Серебряный Бор', 'Щукинская']",4,2025-04,2025,2
realtor_based,https://www.cian.ru/rent/flat/319463100/,Москва,rent_long,flat,95200.0,2022.0,monolith,18.0,25,"Октябрьское поле, Бульвар Генерала Карбышева, Серебряный Бор",2025-07-05,5288.888888888889,"['Октябрьское поле', 'Бульвар Генерала Карбышева', 'Серебряный Бор']",7,2025-07,2025,5
realtor_based,https://www.cian.ru/rent/flat/319554040/,Москва,rent_long,flat,89500.0,2006.0,panel,28.7,17,"Ховрино, Ховрино, Грачёвская",2025-07-08,3118.466898954704,"['Ховрино', 'Ховрино', 'Грачёвская']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/315551205/,Москва,rent_long,flat,90000.0,2024.0,unknown,30.0,28,Щукинская,2025-03-28,3000.0,['Щукинская'],3,2025-03,2025,4
realtor_based,https://www.cian.ru/rent/flat/316823671/,Москва,rent_long,flat,70800.0,2012.0,panel,20.0,25,"Народное Ополчение, Народное Ополчение, Бульвар Генерала Карбышева",2025-04-26,3540.0,"['Народное Ополчение', 'Народное Ополчение', 'Бульвар Генерала Карбышева']",4,2025-04,2025,5
realtor_based,https://www.cian.ru/rent/flat/318773958/,Москва,rent_long,flat,45700.0,2024.0,monolith,12.0,14,"Бунинская аллея, Щербинка, Силикатная",2025-06-16,3808.3333333333335,"['Бунинская аллея', 'Щербинка', 'Силикатная']",6,2025-06,2025,0
realtor_based,https://www.cian.ru/rent/flat/318757313/,Москва,rent_long,flat,70800.0,1993.0,panel,36.7,11,"Пятницкое шоссе, Митино, Волоколамская",2025-06-16,1929.1553133514985,"['Пятницкое шоссе', 'Митино', 'Волоколамская']",6,2025-06,2025,0
realtor_based,https://www.cian.ru/rent/flat/319633108/,Москва,rent_long,flat,229990.0,2021.0,monolithBrick,63.1,24,"Шелепиха, Шелепиха, Звенигородская",2025-07-10,3644.849445324881,"['Шелепиха', 'Шелепиха', 'Звенигородская']",7,2025-07,2025,3
realtor_based,https://www.cian.ru/rent/flat/319395589/,Москва,rent_long,flat,99000.0,,unknown,33.7,33,"Кантемировская, Царицыно",2025-07-03,2937.6854599406524,"['Кантемировская', 'Царицыно']",7,2025-07,2025,3
realtor_based,https://www.cian.ru/rent/flat/319675415/,Москва,rent_long,flat,53100.0,1997.0,panel,18.9,17,"Шипиловская, Борисово, Красногвардейская",2025-07-11,2809.5238095238096,"['Шипиловская', 'Борисово', 'Красногвардейская']",7,2025-07,2025,4
realtor_based,https://www.cian.ru/rent/flat/315489248/,Москва,rent_long,flat,58300.0,1983.0,panel,18.9,16,"Шипиловская, Красногвардейская, Зябликово",2025-03-27,3084.656084656085,"['Шипиловская', 'Красногвардейская', 'Зябликово']",3,2025-03,2025,3
realtor_based,https://www.cian.ru/rent/flat/319460370/,Москва,rent_long,flat,50000.0,1966.0,panel,26.0,5,"Новогиреево, Перово, Новогиреево",2025-07-05,1923.076923076923,"['Новогиреево', 'Перово', 'Новогиреево']",7,2025-07,2025,5
realtor_based,https://www.cian.ru/rent/flat/319480353/,Москва,rent_long,flat,70800.0,2018.0,monolith,11.6,14,"Домодедовская, Зябликово, Орехово",2025-07-06,6103.448275862069,"['Домодедовская', 'Зябликово', 'Орехово']",7,2025-07,2025,6
realtor_based,https://www.cian.ru/rent/flat/319247851/,Москва,rent_long,flat,135000.0,2000.0,panel,60.9,17,"Щукинская, Стрешнево, Стрешнево",2025-06-30,2216.7487684729062,"['Щукинская', 'Стрешнево', 'Стрешнево']",6,2025-06,2025,0
realtor_based,https://www.cian.ru/rent/flat/319676199/,Москва,rent_long,flat,99800.0,2014.0,monolith,24.0,19,"ЦСКА, Полежаевская, Беговая, Хорошёвская",2025-07-11,4158.333333333333,"['ЦСКА', 'Полежаевская', 'Беговая', 'Хорошёвская']",7,2025-07,2025,4
realtor_based,https://www.cian.ru/rent/flat/319728059/,Москва,rent_long,flat,141990.0,2021.0,monolithBrick,46.8,24,"Октябрьское поле, Бульвар Генерала Карбышева, Серебряный Бор",2025-07-14,3033.9743589743593,"['Октябрьское поле', 'Бульвар Генерала Карбышева', 'Серебряный Бор']",7,2025-07,2025,0
