author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date
realtor_based,https://www.cian.ru/rent/flat/319524074/,Москва,rent_long,flat,290300.0,,monolithBrick,60.1,28,"Багратионовская, Парк Победы, Филёвский парк",2025-07-08
realtor_based,https://www.cian.ru/rent/flat/313850443/,Москва,rent_long,flat,200600.0,2005.0,panel,53.3,22,"Поклонная, Ломоносовский проспект, Киевская",2025-02-18
realtor_based,https://www.cian.ru/rent/flat/317523322/,Москва,rent_long,flat,84300.0,1960.0,panel,25.0,5,"Ломоносовский проспект, Минская, Минская",2025-05-14
realtor_based,https://www.cian.ru/rent/flat/316058969/,Москва,rent_long,flat,79800.0,2024.0,panel,18.0,24,"Бульвар Генерала Карбышева, Серебряный Бор, Щукинская",2025-04-09
realtor_based,https://www.cian.ru/rent/flat/319463100/,Москва,rent_long,flat,95200.0,2022.0,monolith,18.0,25,"Октябрьское поле, Бульвар Генерала Карбышева, Серебряный Бор",2025-07-05
realtor_based,https://www.cian.ru/rent/flat/319554040/,Москва,rent_long,flat,89500.0,2006.0,panel,28.7,17,"Ховрино, Ховрино, Грачёвская",2025-07-08
realtor_based,https://www.cian.ru/rent/flat/315551205/,Москва,rent_long,flat,90000.0,2024.0,unknown,30.0,28,Щукинская,2025-03-28
realtor_based,https://www.cian.ru/rent/flat/316823671/,Москва,rent_long,flat,70800.0,2012.0,panel,20.0,25,"Народное Ополчение, Народное Ополчение, Бульвар Генерала Карбышева",2025-04-26
realtor_based,https://www.cian.ru/rent/flat/318773958/,Москва,rent_long,flat,45700.0,2024.0,monolith,12.0,14,"Бунинская аллея, Щербинка, Силикатная",2025-06-16
realtor_based,https://www.cian.ru/rent/flat/318757313/,Москва,rent_long,flat,70800.0,1993.0,panel,36.7,11,"Пятницкое шоссе, Митино, Волоколамская",2025-06-16
realtor_based,https://www.cian.ru/rent/flat/319633108/,Москва,rent_long,flat,229990.0,2021.0,monolithBrick,63.1,24,"Шелепиха, Шелепиха, Звенигородская",2025-07-10
realtor_based,https://www.cian.ru/rent/flat/319395589/,Москва,rent_long,flat,99000.0,,unknown,33.7,33,"Кантемировская, Царицыно",2025-07-03
realtor_based,https://www.cian.ru/rent/flat/319675415/,Москва,rent_long,flat,53100.0,1997.0,panel,18.9,17,"Шипиловская, Борисово, Красногвардейская",2025-07-11
realtor_based,https://www.cian.ru/rent/flat/315489248/,Москва,rent_long,flat,58300.0,1983.0,panel,18.9,16,"Шипиловская, Красногвардейская, Зябликово",2025-03-27
realtor_based,https://www.cian.ru/rent/flat/319460370/,Москва,rent_long,flat,50000.0,1966.0,panel,26.0,5,"Новогиреево, Перово, Новогиреево",2025-07-05
realtor_based,https://www.cian.ru/rent/flat/319480353/,Москва,rent_long,flat,70800.0,2018.0,monolith,11.6,14,"Домодедовская, Зябликово, Орехово",2025-07-06
realtor_based,https://www.cian.ru/rent/flat/319247851/,Москва,rent_long,flat,135000.0,2000.0,panel,60.9,17,"Щукинская, Стрешнево, Стрешнево",2025-06-30
realtor_based,https://www.cian.ru/rent/flat/319676199/,Москва,rent_long,flat,99800.0,2014.0,monolith,24.0,19,"ЦСКА, Полежаевская, Беговая, Хорошёвская",2025-07-11
realtor_based,https://www.cian.ru/rent/flat/319728059/,Москва,rent_long,flat,141990.0,2021.0,monolithBrick,46.8,24,"Октябрьское поле, Бульвар Генерала Карбышева, Серебряный Бор",2025-07-14
realtor_based,https://www.cian.ru/rent/flat/319633111/,Москва,rent_long,flat,241400.0,2021.0,monolithBrick,74.7,24,"Шелепиха, Шелепиха, Звенигородская",2025-07-10
realtor_based,https://www.cian.ru/rent/flat/319585338/,Москва,rent_long,flat,37000.0,,unknown,18.0,14,"Щербинка, Силикатная, Бунинская аллея",2025-07-09
realtor_based,https://www.cian.ru/rent/flat/317712547/,Москва,rent_long,flat,450000.0,,unknown,84.0,7,"Смоленская, Арбатская, Баррикадная, Краснопресненская, Александровский сад, Библиотека им. Ленина, Кропоткинская",2025-05-19
realtor_based,https://www.cian.ru/rent/flat/316642425/,Москва,rent_long,flat,36000.0,2015.0,monolith,17.0,15,"Щербинка, Бунинская аллея, Остафьево",2025-04-22
realtor_based,https://www.cian.ru/rent/flat/297427153/,Москва,rent_long,flat,300000.0,,unknown,30.0,9,"Маяковская, Тверская, Пушкинская, Чеховская, Белорусская, Новослободская, Белорусская, Менделеевская",2024-01-18
realtor_based,https://www.cian.ru/rent/flat/318391817/,Москва,rent_long,flat,61600.0,2000.0,panel,18.0,20,"Бескудниково, Яхромская, Лианозово",2025-06-04
realtor_based,https://www.cian.ru/rent/flat/319359692/,Москва,rent_long,flat,320000.0,1912.0,brick,30.0,6,"Смоленская, Кропоткинская, Парк Культуры, Арбатская, Киевская",2025-07-02
realtor_based,https://www.cian.ru/rent/flat/318115202/,Москва,rent_long,flat,370000.0,,unknown,30.0,75,"Деловой центр, Деловой центр, Москва-Сити, Москва-Сити, Деловой центр, Москва-Сити, Шелепиха",2025-05-28
realtor_based,https://www.cian.ru/rent/flat/319582337/,Москва,rent_long,flat,320000.0,1912.0,brick,30.0,6,"Смоленская, Кропоткинская, Парк Культуры, Арбатская, Киевская",2025-07-09
realtor_based,https://www.cian.ru/rent/flat/319192676/,Москва,rent_long,flat,210000.0,,unknown,30.0,79,"Москва-Сити, Москва-Сити, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Шелепиха, Шелепиха",2025-06-27
realtor_based,https://www.cian.ru/rent/flat/306104269/,Москва,rent_long,flat,55000.0,1961.0,brick,23.0,9,"Университет, Проспект Вернадского, Проспект Вернадского, Новаторская",2024-08-17
realtor_based,https://www.cian.ru/rent/flat/319193074/,Москва,rent_long,flat,220000.0,,unknown,30.0,79,"Москва-Сити, Москва-Сити, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Шелепиха, Шелепиха",2025-06-27
realtor_based,https://www.cian.ru/rent/flat/319193395/,Москва,rent_long,flat,390000.0,,unknown,30.0,79,"Москва-Сити, Москва-Сити, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Шелепиха, Шелепиха",2025-06-27
realtor_based,https://www.cian.ru/rent/flat/318463291/,Москва,rent_long,flat,105300.0,2013.0,panel,22.3,16,"Коломенская, Автозаводская, Нагатинская",2025-06-06
